Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating
.hack//G.U. vol. 1//Rebirth,CyberConnect2,Namco Bandai Games|Bandai,PlayStation 2,Action|Role-Playing,24 Oct 2006,8.8
.hack//G.U. vol. 2//Reminisce,CyberConnect2,Bandai|Namco Bandai Games,PlayStation 2,Action|Role-Playing,8 May 2007,8.9
.hack//Infection Part 1,CyberConnect2,Bandai,PlayStation 2,Action|Role-Playing,10 Feb 2003,7.9
.hack//Mutation Part 2,CyberConnect2,Bandai,PlayStation 2,Role-Playing|Action,6 May 2003,7.9
.hack//Outbreak Part 3,CyberConnect2,Bandai,PlayStation 2,Action|Role-Playing,9 Sep 2003,8.0
.hack//Quarantine Part 4,CyberConnect2,Bandai,PlayStation 2,Role-Playing|Action,14 Jan 2004,8.0
0 Day Attack on Earth,Gulti,Square Enix,Xbox 360,Shooter|Third-Person|3D|Action,23 Dec 2009,4.8
007 Legends,Eurocom Entertainment Software,Activision,PC|PlayStation 3|Wii U|Xbox 360,First-Person|Shooter|3D|Action,16 Oct 2012,5.1
007 Racing,Eutechnyx,Electronic Arts,PlayStation,Driving/Racing|Arcade,20 Nov 2000,5.6
007: The World is not Enough,Eurocom Entertainment Software|Black Ops Entertainment,Electronic Arts,Nintendo 64|PlayStation,Action|First-Person|Shooter|3D,1 Nov 2000,7.6
007: Tomorrow Never Dies,Black Ops Entertainment,MGM Interactive|EA Games|Electronic Arts|Electronic Arts Victor,PlayStation,Third-Person|3D|Action|Shooter,16 Nov 1999,6.3
1-2-Switch,Nintendo,Nintendo,Nintendo Switch,Party/Minigame,3 Mar 2017,2.0
1000 Words,Gameloft,Gameloft,Mobile,Puzzle,19 Oct 2004,
100ft Robot Golf,No Goblin,No Goblin,PC|PlayStation 4,Sports|Arcade|Golf,16 Mar 2017,0.0
1080: Avalanche,Nintendo,Nintendo,GameCube,Snowboarding/Skiing|Sports,1 Dec 2003,7.7
1080: TenEighty Snowboarding,Nintendo,Nintendo,Nintendo 64,Snowboarding/Skiing|Sports,31 Mar 1998,8.1
12 O'Clock High: Bombing the Reich,TalonSoft,Take-Two Interactive,PC,Simulation|Flight,30 Nov 1999,6.4
140,Jeppe Carlsen,Jeppe Carlsen|Double Fine Productions|Abstraction Games,Linux|Macintosh|PC|PlayStation 4|PlayStation Vita|Wii U|Xbox One,Action|Platformer|2D,16 Oct 2013,7.6
1503 A.D. - The New World,Sunflowers Interactive,Electronic Arts|ak tronic,PC,Strategy|Real-Time,23 Mar 2003,7.5
1602 A.D.,Max Design,Sunflowers Interactive|ak tronic|Electronic Arts,PC,Strategy|Real-Time,2000,7.7
1701 A.D. Gold Edition,Related Designs,Aspyr,PC,Strategy|Real-Time,24 Jul 2008,7.8
1701 A.D.,Related Designs,Aspyr|Deep Silver,PC,Real-Time|Strategy,6 Nov 2006,8.3
18 Wheeler: American Pro Trucker,Sega|CRI|Acclaim Studios Cheltenham,Sega|Acclaim Japan|Acclaim,Arcade Games|Dreamcast|GameCube|PlayStation 2,Driving/Racing|Arcade,2000,5.8
187 Ride or Die,Ubisoft Paris,Ubisoft,PlayStation 2|Xbox,Simulation,23 Aug 2005,6.0
