_id,ltable_ID,rtable_ID,ltable_Title,ltable_Developer,ltable_Publisher,ltable_Platform,ltable_Genre,ltable_Rating,ltable_ReleaseDate,ltable_CleanRDate,rtable_Title,rtable_Developer,rtable_Publisher,rtable_Platform,rtable_Genre,rtable_Rating,rtable_ReleaseDate,rtable_CleanRDate,gold_label
9422,a72,b120,A World of Keflings,NinjaBee,NinjaBee|Microsoft Game Studios,PC|Wii U|Xbox 360,Strategy,7.9,22 Dec 2010,2010-12-22,A World of Keflings,NinjaBee,Microsoft Studios,PC|Xbox 360,Simulation,6.7,22 December 2010,2010-12-22,1
11274,a1282,b141,Combat,Magic Lantern,Infogrames,PC,Simulation,6.6,20 Nov 2001,2001-11-20,Ace Combat 2,Namco,Namco,PlayStation,Arcade|Combat Flight Simulator,8.2,,,0
28649,a8867,b227,Zone of the Enders: The Fist of Mars,WinkySoft,Konami,Game Boy Advance,Strategy|Turn-Based,8.2,3 Mar 2002,2002-03-03,Age of Wonders: Shadow Magic,Triumph Studios,Gathering of Developers,PC,Turn-Based Strategy,8.3,2003,2003-01-01,0
35492,a5254,b292,Orcs Must Die!,Robot Entertainment,Robot Entertainment|Mastertronic,PC|Xbox 360,Strategy|Real-Time,8.0,5 Oct 2011,2011-10-05,All Zombies Must Die!,Doublesix,Square Enix,PC|PlayStation 3|Xbox 360,Shooter,5.3,27 December 2011,2011-12-27,0
45168,a403,b443,Army of Two: The Devil's Cartel,Visceral Games,Electronic Arts|Media Five,PlayStation 3|Xbox 360,3D|Action|Shooter|Third-Person,6.7,26 Mar 2013,2013-03-26,Army of Two: The Devil's Cartel,Visceral Montreal|EA Montreal,Electronic Arts,PlayStation 3|Xbox 360,Third-Person|Shooter,6.9,26 March 2013,2013-03-26,1
68774,a4460,b630,Minecraft: Story Mode - A Telltale Games Series,Telltale Games,Telltale Games,Android|iOS (iPhone/iPad)|Macintosh|Nintendo Switch|PC|PlayStation 3|PlayStation 4|Wii U|Xbox 360|Xbox One,Adventure,7.2,13 Oct 2015,2015-10-13,Batman: The Telltale Series,Telltale Games,Telltale Games,Android|Nintendo Switch|PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Point-and-Click|Third-Person|Adventure,7.6,02 August 2016,2016-08-02,0
83382,a8860,b747,Zombie Apocalypse (2009),Nihilistic,Konami,PlayStation 3|Xbox 360,Shooter|2D|Action|Fixed-Screen,7.3,23 Sep 2009,2009-09-23,Bionic Commando (2009),GRIN,Capcom,PC|PlayStation 3|Xbox 360,Action|Platform,6.4,19 May 2009,2009-05-19,0
86231,a745,b784,Blackguards,Daedalic Entertainment,Daedalic Entertainment|Kalypso,Macintosh|PC|PlayStation 4|Xbox One,Strategy|Turn-Based,6.8,24 Jan 2014,2014-01-24,Blackguards,Daedalic Entertainment,Daedalic Entertainment,PC,Turn-Based|Role-Playing|Strategy,6.8,22 January 2014,2014-01-22,1
119654,a1026,b1067,Call of Duty: World at War,n-Space|Treyarch|Exakt,Activision,DS|PC|PlayStation 3|Wii|Xbox 360,3D|Action|First-Person|Shooter,8.4,10 Nov 2008,2008-11-10,Call of Duty: World at War - Final Fronts,Rebellion Developments,Activision,PlayStation 2,First-Person Shooter,4.5,10 November 2008,2008-11-10,0
122108,a1051,b1091,Captain Toad: Treasure Tracker,Nintendo EAD Tokyo,Nintendo,3DS|Nintendo Switch|Wii U,3D|Action|Platformer,8.1,5 Dec 2014,2014-12-05,Captain Morgane and the Golden Turtle,Wizarbox,Reef Entertainment,PC|PlayStation 3,Adventure,6.5,,,0
157872,a1379,b1391,Crash Bandicoot: The Huge Adventure,Vicarious Visions,Universal Interactive|Konami,Game Boy Advance,Platformer|Action|2D,7.6,25 Feb 2002,2002-02-25,Crash Bandicoot: The Huge Adventure,Vicarious Visions,Universal Interactive Studios|JP: Konami,Game Boy Advance,Platform,6.2,25 February 2002,2002-02-25,1
166183,a1507,b1502,Dance Dance Revolution Extreme,Konami|KCET,Konami,Arcade Games|PlayStation 2,Music/Rhythm,8.3,21 Sep 2004,2004-09-21,Dance Dance Revolution Extreme,Konami Computer Entertainment Tokyo,Konami,PlayStation 2,Music|Exercise,7.7,21 September 2004,2004-09-21,1
187133,a1658,b1658,Dear Esther,The Chinese Room,The Chinese Room|Curve Digital Games|Limited Run Games,Linux|Macintosh|PC|PlayStation 4,3D|Adventure|First-Person,7.1,14 Feb 2012,2012-02-14,Dear Esteban,URSA,,Browser|PC,Adventure,4.8,,,0
190232,a2555,b1696,Fighting Force 2,Core Design Ltd.,Eidos Interactive|Square Enix,Dreamcast|PlayStation,3D|Action|Beat-'Em-Up,5.4,30 Nov 1999,1999-11-30,Delta Force 2,Novalogic,Novalogic,PC,Tactical Shooter,7.0,03 November 1999,1999-11-03,0
212916,a1919,b1914,Donkey Konga,Namco,Nintendo,GameCube,Music/Rhythm,8.1,27 Sep 2004,2004-09-27,Donkey Konga 2,Nintendo,Nintendo,Nintendo GameCube,Music|Rhythm,7.2,09 May 2005,2005-05-09,0
214186,a8726,b1933,X-Men: Destiny,Other Ocean Interactive|Silicon Knights,Activision,DS|PlayStation 3|Wii|Xbox 360,Beat-'Em-Up|Action|3D,5.3,27 Sep 2011,2011-09-27,Doom & Destiny,HeartBit Interactive,,Android|PC,Role-Playing,7.7,25 August 2011,2011-08-25,0
