_id,ltable_ID,rtable_ID,ltable_Title,ltable_Developer,ltable_Publisher,ltable_Platform,ltable_Genre,ltable_Rating,ltable_ReleaseDate,ltable_CleanRDate,rtable_Title,rtable_Developer,rtable_Publisher,rtable_Platform,rtable_Genre,rtable_Rating,rtable_ReleaseDate,rtable_CleanRDate,gold_label
913082,a7987,b7683,Total Control Football,Blue Sky Software,Philips Media,PC,Simulation|Sports|Team-Based|Football (American),3.0,31 Oct 1996,1996-10-31,Total Annihilation,Cavedog Entertainment,GT Interactive,PC,Real-time strategy,8.2,30 September 1997,1997-09-30,0
231382,a1983,b2008,Dragon Ball Z: Shin Budokai - Another Road,Dimps Corporation,Bandai Namco Games|Bandai|Atari SA,PSP,3D|Fighting|Action,8.5,20 Mar 2007,2007-03-20,Dragon Ball Z: Shin Budokai - Another Road,Dimps,Atari,PSP,,7.6,20 March 2007,2007-03-20,1
304609,a2588,b2606,Final Fantasy VIII,SquareSoft,SquareSoft|Eidos Interactive|Square Enix|Square EA|SCE Australia,PC|PlayStation,Role-Playing,9.1,7 Sep 1999,1999-09-07,Final Fight Guy,Capcom,Capcom,Super Nintendo,Beat 'em up,6.3,,,0
298331,a1418,b2571,Crisis Core: Final Fantasy VII,Square Enix,Square Enix,PSP,Action|Role-Playing,9.1,24 Mar 2008,2008-03-24,Final Fantasy V,Square,Square,Android|Emulated|Game Boy Advance|iOS|PC|PlayStation|PlayStation 3|PlayStation Vita|PSP|Super Nintendo,Role-Playing,8.0,,,0
771435,a843,b6710,Bomberman '93,Hudson,Hudson Soft|Hudson|Turbo Technologies|Inc.|Konami,TurboGrafx-16,Action|Puzzle,7.9,1993,1993-01-01,Super Bomberman 4,Produce,Hudson Soft,Super Nintendo,Action|Puzzle,8.7,,,0
467100,a2141,b4157,EA Sports MMA,EA Sports|EA Tiburon,Electronic Arts|EA Sports,iOS (iPhone/iPad)|PlayStation 3|Xbox 360,Boxing|Sports,7.7,19 Oct 2010,2010-10-19,Mario Sports Mix,Square Enix|Nintendo SPD Group No.4,Nintendo,Wii,Sports,7.2,07 February 2011,2011-02-07,0
329118,a2428,b2834,Faces of War,Best Way,Ubisoft|1C|Mastertronic,PC,Strategy|Real-Time,7.8,12 Sep 2006,2006-09-12,Gears of War,Epic Games,Microsoft Game Studios,PC|Xbox|Xbox 360|Xbox One,Third-Person|Shooter,7.8,07 November 2006,2006-11-07,0
519386,a3356,b4530,Hybrid (2012),5TH Cell,Microsoft Game Studios,Xbox 360,Action|Shooter|Tactical|Third-Person,7.2,8 Aug 2012,2012-08-08,Monopoly (2012),Sperasoft,PopCap,PC,Board Game,5.5,30 November 2012,2012-11-30,0
543186,a4942,b4776,Need for Speed: Carbon,Global VR|Exient Entertainment|EA Canada|Rovio Entertainment Ltd|Black Box|EA Games,Global VR|EA Games|Electronic Arts,Arcade Games|DS|Game Boy Advance|GameCube|Macintosh|Mobile|PC|PlayStation 2|PlayStation 3|PSP|Wii|Xbox|Xbox 360|Zeebo,Simulation|Driving/Racing,8.0,31 Oct 2006,2006-10-31,Need for Speed: Underground Rivals,,Electronic Arts,PSP,Racing,5.7,,,0
680572,a6295,b6100,Sega GT 2002,Wow Entertainment,Sega,Xbox,Simulation|Driving/Racing,7.6,2 Sep 2002,2002-09-02,Shinobi (2002),Overworks,Sega,PlayStation 2,Action|Adventure,6.9,10 November 2002,2002-11-10,0
521291,a4550,b4540,Monster Hunter Generations,Capcom,Capcom,3DS,Role-Playing|Action,8.9,15 Jul 2016,2016-07-15,Monster Hunter Portable 3rd,Capcom,Capcom,PlayStation 3|PSP,Action|Role-playing,8.9,,,0
984778,a8836,b8400,Zack & Wiki: Quest for Barbaros' Treasure,Capcom,Capcom|Nintendo,Wii,Adventure,8.3,23 Oct 2007,2007-10-23,Zack & Wiki: Quest for Barbaros' Treasure,Capcom,Capcom,Wii,Point-and-Click|Adventure|Puzzle,7.8,23 October 2007,2007-10-23,1
398749,a3530,b3520,James Bond 007: Everything or Nothing,Griptonite Games|EA Redwood Shores,Electronic Arts|EA Games,Game Boy Advance|GameCube|PlayStation 2|Xbox,Shooter|Third-Person|3D|Action,8.5,17 Nov 2003,2003-11-17,James Bond 007: Nightfire,Eurocom|Gearbox Software,Electronic Arts,Emulated|Nintendo GameCube|PC|PlayStation 2|Xbox,First-Person|Shooter,7.4,18 November 2002,2002-11-18,0
401828,a8166,b3564,Ultimate 8 Ball,Mirage Interactive,THQ|Gremlin Interactive|Zoo Digital Publishing,PC|PlayStation,Billiards|Sports,7.0,31 May 1999,1999-05-31,Jump Ultimate Stars,Ganbarion,Nintendo,Nintendo DS,2D versus fighting,7.5,,,0
181726,a1630,b1614,Dead Rising 4,Capcom Vancouver,Capcom|Microsoft Game Studios,PC|PlayStation 4|Xbox One,Adventure|Action,6.6,6 Dec 2016,2016-12-06,Dead Rising 4,,Microsoft Studios,PC|PlayStation 4|Xbox One,Third-Person|Action|Adventure|Survival,7.2,06 December 2016,2016-12-06,1
31956,a3480,b260,Ion Assault,Black Inc.|bitComposer Games,bitComposer Games|Microsoft Game Studios,PC|PlayStation 3|Xbox 360,Shoot-'Em-Up|Action|2D,6.7,23 Sep 2009,2009-09-23,Alien Breed 2: Assault,Team 17,,PC|PlayStation 3|Xbox 360,Action|Shooter,6.0,22 September 2010,2010-09-22,0
186443,a1651,b1651,Deadly Creatures,Rainbow Studios,THQ,Wii,3D|Action|Platformer,7.6,9 Feb 2009,2009-02-09,Deadly 30,Headup Games,,PC,Action,6.7,,,0
942184,a8312,b8000,Virtua Fighter 3tb,Sega AM2|Genki,Sega,Arcade Games|Dreamcast,3D|Action|Fighting,7.7,1998,1998-01-01,Virtua Tennis,Sega AM-3,Sega,Dreamcast|PC,Sports,7.8,1999,1999-01-01,0
316975,a213,b2727,Alien Resurrection,Argonaut Games,Fox Interactive,PlayStation,Action|First-Person|Shooter|3D,6.5,10 Oct 2000,2000-10-10,Frederic: Resurrection of Music,Forever Entertainment,,PC,Music/Rhythm,6.1,,,0
224278,a1965,b1984,Dragon Ball: Origins,Game Republic,Atari SA|Bandai Namco Games|Namco Bandai Games|Bandai,DS,Action|Adventure,8.3,4 Nov 2008,2008-11-04,Dragon Ball: Origins,Game Republic,Bandai|Atari,Nintendo DS,Action|Adventure,5.8,04 November 2008,2008-11-04,1
