_id,ltable_ID,rtable_ID,ltable_Title,ltable_Developer,ltable_Publisher,ltable_Platform,ltable_Genre,ltable_Rating,ltable_ReleaseDate,ltable_CleanRDate,rtable_Title,rtable_Developer,rtable_Publisher,rtable_Platform,rtable_Genre,rtable_Rating,rtable_ReleaseDate,rtable_CleanRDate,gold_label
298367,a2590,b2571,Final Fantasy X / X-2 HD Remaster,Square Enix|Virtuos,Square Enix|SCEI,PC|PlayStation 3|PlayStation 4|PlayStation Vita,Compilation,8.7,18 Mar 2014,2014-03-18,Final Fantasy V,Square,Square,Android|Emulated|Game Boy Advance|iOS|PC|PlayStation|PlayStation 3|PlayStation Vita|PSP|Super Nintendo,Role-Playing,8.0,,,0
179103,a1611,b1598,Dead Island,Techland,Deep Silver|Auran|Zoo Corporation|Spike|Spike Chunsoft,Linux|Macintosh|PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Action|3D|Adventure|Survival,7.7,5 Sep 2011,2011-09-05,Dead Island: Epidemic,Stunlock Studios,Deep Silver,PC,Moba,6.6,,,1
463788,a4155,b4132,Mario Kart 64,Nintendo,Nintendo,Nintendo 64,Arcade|Driving/Racing,8.5,10 Feb 1997,1997-02-10,Mario Kart 64,Nintendo EAD,Nintendo,Nintendo 64|PC|Wii|Wii U,Racing,8.2,10 February 1997,1997-02-10,1
945894,a8363,b8052,Wallace & Gromit's Grand Adventures,Telltale Games,Telltale Games|Mastertronic,iOS (iPhone/iPad)|PC|Xbox 360,Compilation,7.6,29 Jul 2009,2009-07-29,Wallace & Gromit Ep 1: Fright of the Bumblebees,Telltale Games,Aardman Animations,PC|Xbox 360,Adventure,6.9,23 March 2009,2009-03-23,0
492691,a4313,b4330,Mega Man Zero 3,Inti,Capcom,Game Boy Advance,Action|2D|Platformer,8.8,5 Oct 2004,2004-10-05,Mega Man Zero 4,Inti Creates|Natsume,Capcom,Emulated|Game Boy Advance|Nintendo 3DS|Nintendo DS,Action|Platform,8.2,04 October 2005,2005-10-04,0
337095,a213,b2908,Alien Resurrection,Argonaut Games,Fox Interactive,PlayStation,Action|First-Person|Shooter|3D,6.5,10 Oct 2000,2000-10-10,God Eater: Resurrection,Shift,D3 Publisher of America,PC|PlayStation 4|PlayStation Vita,Action|Role-Playing,7.8,,,0
543191,a4947,b4776,Need for Speed III: Hot Pursuit,EA Seattle|EA Canada,Electronic Arts|Sold Out Software,PC|PlayStation,Arcade|Driving/Racing,8.4,12 Oct 1998,1998-10-12,Need for Speed: Underground Rivals,,Electronic Arts,PSP,Racing,5.7,,,0
566646,a799,b5015,Blood of the Werewolf,Scientifically Proven,Midnight City|Scientifically Proven,PC|PlayStation 3|Xbox 360,Platformer|2D|Action,5.8,28 Oct 2013,2013-10-28,Overcast - Walden and the Werewolf,Microblast Games,Microblast Games,PC,Survival Horror,2.8,18 April 2014,2014-04-18,0
463875,a4156,b4133,Mario Kart 7,Entertainment Analysis & Development Division|Retro Studios,Nintendo,3DS,Arcade|Driving/Racing,8.5,4 Dec 2011,2011-12-04,Mario Kart 7,Nintendo EAD|Retro Studios,Nintendo,Nintendo 2DS|Nintendo 3DS,Racing,8.2,04 December 2011,2011-12-04,1
116807,a1014,b1058,Call of Duty 4: Modern Warfare,n-Space|Infinity Ward|Treyarch,Activision|Aspyr|Square Enix,DS|Macintosh|PC|PlayStation 3|Wii|Xbox 360,Action|First-Person|Shooter|3D,9.1,5 Nov 2007,2007-11-05,Call of Duty: Modern Warfare 2 - Multiplayer,,,PC,,7.8,,,0
679057,a7782,b6092,Thunder Force V,TechnoSoft,Working Designs|TechnoSoft|Twenty-one,PlayStation|Saturn,Action|2D|Shoot-'Em-Up,8.2,31 Aug 1998,1998-08-31,Shining Force III,Camelot Software Planning,Sega,Sega Saturn,Role-Playing|Tactical,8.8,August 1998,1998-08-01,0
300575,a2597,b2585,Final Fantasy XIV Online: A Realm Reborn,Square Enix,Square Enix,PC|PlayStation 3|PlayStation 4,Role-Playing|MMO,8.1,27 Aug 2013,2013-08-27,Final Fantasy XII International Zodiac Job System,Square Enix,Square Enix|Basiscape,PlayStation 2,Role-Playing,8.7,,,0
166661,a1513,b1503,Dance Dance Revolution Ultramix 2,Konami Computer Entertainment Hawaii,Konami,Xbox,Music/Rhythm,8.4,18 Nov 2004,2004-11-18,Dance Dance Revolution Extreme 2,Konami,Konami,PlayStation 2,Music|Exercise,6.8,28 September 2005,2005-09-28,0
540142,a4746,b4743,Naruto: Ninja Council 3,Aspect,Tomy Corporation|Nintendo|D3Publisher,DS,2D|Beat-'Em-Up|Action,7.5,22 May 2007,2007-05-22,Naruto: Ultimate Ninja 3,cyberConnect2,Namco Bandai Games,PlayStation 2,Fighting,7.3,25 March 2008,2008-03-25,0
187133,a1658,b1658,Dear Esther,The Chinese Room,The Chinese Room|Curve Digital Games|Limited Run Games,Linux|Macintosh|PC|PlayStation 4,3D|Adventure|First-Person,7.1,14 Feb 2012,2012-02-14,Dear Esteban,URSA,,Browser|PC,Adventure,4.8,,,0
318081,a1176,b2745,Chopper Attack (1997),Seta Corporation,GT Interactive|Midway|Seta Corporation,Nintendo 64,Action,6.8,17 Jun 1998,1998-06-17,Frogger (1997),SCE Cambridge Studio,Hasbro Interactive Inc.,PC|PlayStation,Arcade|Action,6.1,03 November 1997,1997-11-03,0
976887,a8785,b8312,Yakuza,Amusement Vision|Ryu ga Gotoku Studios,Sega|Deep Silver,PlayStation 2|PlayStation 3|PlayStation 4,Adventure|Action,8.2,5 Sep 2006,2006-09-05,Yakuza,Amusement Vision,Sega,Emulated|PlayStation 2|PlayStation 3,Action-adventure,8.1,05 September 2006,2006-09-05,1
453250,a4012,b4024,Luxor 2,MumboJumbo,MumboJumbo|Microsoft Game Studios,iOS (iPhone/iPad)|Macintosh|PC|Xbox 360,Puzzle,7.2,15 Nov 2006,2006-11-15,Luxor Evolved,,,PC,Puzzle,7.0,,,0
53632,a6911,b501,Star Wars Episode I: Racer,LucasArts|Pax Softonica,LucasArts|Nintendo,Dreamcast|Game Boy Color|Macintosh|Nintendo 64|PC,Driving/Racing|Arcade,8.2,30 Apr 1999,1999-04-30,Asura's Wrath: Episode Pack - Part IV,CyberConnect2,Capcom,PlayStation 3|Xbox 360,Action|Beat 'em Up,8.2,,,0
10110,a79,b133,Absolver,Sloclap,Devolver Digital,Linux|Macintosh|PC|PlayStation 4,Role-Playing|Action,7.7,29 Aug 2017,2017-08-29,Absolver,Sloclap,Devolver Digital,PC|PlayStation 4,Massively Multiplayer|Role-Playing,6.5,29 August 2017,2017-08-29,1
773873,a7155,b6721,Super Rub a Dub,Sumo Digital,SCEA|SCEI|SCEE|SCE Australia,PlayStation 3,Puzzle,6.9,2 May 2007,2007-05-02,Super Dragon Ball Z,Crafts &amp; Meister|Arika,Atari,PlayStation 2,Fighting,5.8,18 July 2006,2006-07-18,0
647256,a3100,b5789,Gunfighter: The Legend of Jesse James,Rebellion,Ubisoft,PlayStation,Light-Gun|Shooter|Action,6.3,30 Nov 2001,2001-11-30,Rygar: The Legendary Adventure,Tecmo|Team Tachyon,Tecmo,PlayStation 2|Wii,Action|Adventure,5.9,12 November 2002,2002-11-12,0
251238,a4489,b2117,MLB 2000,989 Sports,SCEA,PlayStation,Team-Based|Baseball|Simulation|Sports,7.8,28 Feb 1999,1999-02-28,Dune 2000,Intelligent Games|Westwood Studios,Virgin Interactive (1998)|Electronic Arts (1999 onwards),PC,Real-time strategy,7.2,September 1998,1998-09-01,0
508383,a4941,b4447,Nectaris: Military Madness,Matrix Software,Hudson|Jaleco Entertainment,PlayStation,Strategy,8.3,31 Dec 1998,1998-12-31,Midtown Madness,Angel Studios,Microsoft,PC,Racing,6.6,01 February 1999,1999-02-01,0
