,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
0,b1,007 Legends,Eurocom,Activision,PC|PlayStation 3|Wii U|Xbox 360,First-Person|Shooter,16 October 2012,5.0,2012-10-16
1,b2,007: The World Is Not Enough,Eurocom|Black Ops,Electronic Arts,Nintendo 64|PlayStation,First-Person|Shooter,17 October 2000,7.0,2000-10-17
2,b3,0RBITALIS,Alan Zucconi,,PC,Puzzle,16 April 2014,8.0,2014-04-16
3,b4,10000000,EightyEight Games,EightyEight Games,Android|iOS|Linux|PC,Role-Playing,29 August 2012,7.7,2012-08-29
4,b5,1000 Amps,Brandon Brizzi,Brandon Brizzi,PC,Adventure|Platform|Puzzle,22 February 2012,6.9,2012-02-22
5,b6,1001 Spikes,8bits Fanatics,Nicalis,PC|PlayStation 4|PlayStation Vita,Platform,03 June 2014,7.9,2014-06-03
6,b7,100% Orange Juice,Orange_Juice,Fruitbat Factory,PC,Board Game,10 September 2013,6.4,2013-09-10
7,b8,102 Dalmatians: Puppies to the Rescue,Crystal Dynamics|Toys for Bob,Eidos Interactive,Dreamcast|Game Boy Color|PC|PlayStation,Action|Platformer,15 November 2000,7.0,2000-11-15
8,b9,1080 Snowboarding,Nintendo EAD,Nintendo,Nintendo 64|Wii|Wii U,Racing,01 April 1998,6.8,1998-04-01
9,b10,10 Second Ninja,GameDesignDan,Mastertronic,PC,Action,05 March 2014,7.0,2014-03-05
10,b11,10 Second Ninja X,Four Circle Interactive,Curve Digital,PC|PlayStation 4|PlayStation Vita|Xbox One,Action|Platform,19 July 2016,7.0,2016-07-19
11,b12,1-2-Switch,Nintendo EPD,Nintendo,Nintendo Switch,Action|Party,03 March 2017,5.4,2017-03-03
12,b13,12 Labours of Hercules,Jetios,,Linux|PC,Simulation,30 October 2013,6.8,2013-10-30
13,b14,12 Labours of Hercules III: Girl Power,Jetdogs Studios|Zoom Out Games,Jetdogs Studios,PC,Strategy,07 August 2015,6.0,2015-08-07
14,b15,12 Labours of Hercules II: The Cretan Bull,Jetdogs Studios|Zoom Out Games,Jetdogs Studios,Linux|PC,Strategy,02 June 2015,6.9,2015-06-02
15,b16,12 Labours of Hercules IV: Mother Nature,Jetdogs Studios|Zoom Out Games,Jetdogs Studios,PC,Strategy,25 December 2015,7.0,2015-12-25
16,b17,12 Labours of Hercules V: Kids of Hellas,Jetdogs Studios|Zoom Out Games,Jetdogs Studios,PC,,17 June 2016,6.4,2016-06-17
17,b18,12 is Better Than 6,Ink Stains Games,Pinkapp Games,PC,Top-Down|Shooter,20 November 2015,5.9,2015-11-20
18,b19,140,Jeppe Carlsen,,Linux|Mac|PC,Music/Rhythm|Platform,16 October 2013,7.4,2013-10-16
19,b20,15 Days,House of Tales Entertainment,Lace Mamba Global|dtp entertainment,PC,Adventure|Role-Playing,,5.6,
20,b21,1849,SomaSim,SomaSim,PC,Simulation,08 May 2014,6.3,2014-05-08
21,b22,1941: Counter Attack,Capcom,Capcom,Arcade|PlayStation 2,Scrolling|Shooter,February 1992,6.9,1992-02-01
22,b23,1942,Capcom,Capcom,Arcade|NES,,December 1984,6.2,1984-12-01
23,b24,1942: Joint Strike,Backbone Entertainment,Capcom,PlayStation 3|Xbox 360,Vertical scrolling shooter,23 July 2008,6.6,2008-07-23
24,b25,1943: The Battle of Midway,Capcom,Capcom,NES,Top-Down|Scrolling|Arcade,June 1987,5.6,1987-06-01
25,b26,1953 - KGB Unleashed,United Independent Entertainment,,PC,First-Person|Adventure,20 September 2013,5.2,2013-09-20
26,b27,1954: Alcatraz,Daedalic Entertainment|Irresponsible Games,Daedalic Entertainment,PC,Point-and-Click|Adventure,11 March 2014,6.7,2014-03-11
27,b28,1979 Revolution: Black Friday,iNK Stories|N-Fusion Interactive,iNK Stories,Android|PC,Adventure,04 April 2016,7.5,2016-04-04
28,b29,1993 Space Machine,Modesty,Modesty,PC,Scrolling|Shooter,28 March 2016,7.3,2016-03-28
29,b30,199X,,,PC,Adventure,2015,8.0,2015-01-01
30,b31,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),Dejobaan Games,Dejobaan Games,PC,Music,01 April 2011,5.6,2011-04-01
31,b32,1 Moment of Time: Silentville,2 Monkeys,Jetdogs Studios,PC,Adventure|Hidden Object,21 July 2016,5.0,2016-07-21
32,b33,2006 FIFA World Cup,EA Canada,EA Sports,PC|PSP|Xbox 360,Sports,24 April 2006,6.6,2006-04-24
33,b34,200% Mixed Juice!,Orange_Juice,Fruitbat Factory,PC,Turn-Based|Role-Playing,23 October 2015,5.5,2015-10-23
34,b35,2010 FIFA World Cup South Africa,EA Canada|HB Studios,EA Sports,PlayStation 3|Wii|Xbox 360,Sports,27 April 2010,7.2,2010-04-27
35,b36,2014 FIFA World Cup Brazil,EA Canada,EA Sports,PlayStation 3|Xbox 360,Sports,15 April 2014,7.1,2014-04-15
36,b37,2048,Gabriele Cirulli,,Android|Browser|iOS|Nintendo 3DS|PC,Puzzle,March 2014,6.5,2014-03-01
37,b38,2064: Read Only Memories,MidBoss,MidBoss,Mac|PC|PlayStation 4|PlayStation Vita,Adventure,06 October 2015,7.1,2015-10-06
38,b39,20XX,Batterystaple Games,Batterystaple Games,PC,Action,25 November 2014,8.3,2014-11-25
39,b40,24: The Game,SCE Studio Cambridge,2K Games|Sony Computer Entertainment,PlayStation 2,Third-person shooter,27 February 2006,6.3,2006-02-27
40,b41,25 To Life,Avalanche Software|Ritual Entertainment,Eidos Interactive,PC|PlayStation 2,Third-person shooter,17 January 2006,5.3,2006-01-17
41,b42,2Xtreme,Sony Interactive Studios America,SCEA,PlayStation,Racing|Sports,31 October 1996,4.0,1996-10-31
42,b43,3089,,,PC,First-Person|Action|Open World|Role-Playing|Shooter,2013,7.7,2013-01-01
43,b44,3D Classics: Excitebike,Nintendo,Nintendo,Nintendo 3DS,Racing,06 June 2011,6.3,2011-06-06
44,b45,3D Classics: Kid Icarus,Nintendo,Nintendo,Nintendo 3DS,Action|Platform,23 March 2012,7.1,2012-03-23
45,b46,3D Dot Game Heroes,Silicon Studio,Atlus,PlayStation 3,Action|Adventure,11 May 2010,7.7,2010-05-11
46,b47,3D Gunstar Heroes,Sega,Sega,Nintendo 3DS,Action|Adventure,20 August 2015,8.0,2015-08-20
47,b48,3 Stars of Destiny,Aldorlea Games,Degica,PC,Adventure|Role-Playing,23 February 2009,5.0,2009-02-23
48,b49,3 on 3 NHL Arcade,EA Canada,EA Sports,PlayStation 3|Xbox 360,Sports,11 February 2009,6.9,2009-02-11
49,b50,404Sight,Retro Yeti Games,Retro Yeti Games,PC,Action,,6.3,
50,b51,4PM,Bojan Brbora,4PM GAME,PC,First-Person|Adventure,09 July 2014,3.9,2014-07-09
51,b52,4 Elements,Playrix Entertainment,Playrix Entertainment,Nintendo DS|PC,Adventure|Puzzle,03 September 2008,6.2,2008-09-03
52,b53,50 Cent: Blood on the Sand,Swordfish Studios,THQ,PlayStation 2|PlayStation 3|Xbox 360,Third-Person|Shooter,24 February 2009,6.7,2009-02-24
53,b54,50 Cent: Bulletproof,Genuine Games|Interscope|High Voltage Software,Sierra Entertainment|Vivendi Games,PlayStation 2|PSP|Xbox,Action,17 November 2005,4.9,2005-11-17
54,b55,5 Days a Stranger,"Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw",PC,Adventure,29 September 2003,7.4,2003-09-29
55,b56,60 Seconds!,Robot Gentleman Studios,Robot Gentleman Studios,PC,Simulation|Survival,25 May 2015,7.0,2015-05-25
56,b57,6180 the moon,Turtle Cream|PokPoong Games,,Mac|PC|Xbox One,Platform,19 September 2014,7.5,2014-09-19
57,b58,6 Days a Sacrifice,"Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw",PC,Adventure,25 January 2007,9.0,2007-01-25
58,b59,7 Days a Skeptic,"Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw",PC,Adventure,27 July 2004,8.0,2004-07-27
59,b60,7 Days to Die,The Fun Pimps,The Fun Pimps,PC|PlayStation 4,First-Person|Action|Adventure,13 December 2013,6.0,2013-12-13
60,b61,7 Grand Steps Step 1: What Ancients Begat,Mousechief,Mousechief,PC,Simulation|Strategy,07 June 2013,4.0,2013-06-07
61,b62,7 Wonders: Ancient Alien Makeover,MumboJumbo,MumboJumbo,PC,Puzzle,,6.6,
62,b63,7 Wonders II,MumboJumbo,MumboJumbo,PC,Puzzle,10 June 2008,5.6,2008-06-10
63,b64,7 Wonders: Treasures of Seven,MumboJumbo,MumboJumbo,PC,Puzzle,24 October 2008,6.1,2008-10-24
64,b65,7 Wonders of the Ancient World,Hot Lava Games,MumboJumbo,PC|PSP,Puzzle,02 February 2007,5.9,2007-02-02
65,b66,7th Dragon 2020,Sega AM1|imageepoch,Sega,PSP,Role-Playing,,8.6,
