_id,ltable_ID,rtable_ID,ltable_Title,ltable_Developer,ltable_Publisher,ltable_Platform,ltable_Genre,ltable_Rating,ltable_ReleaseDate,ltable_CleanRDate,rtable_Title,rtable_Developer,rtable_Publisher,rtable_Platform,rtable_Genre,rtable_Rating,rtable_ReleaseDate,rtable_CleanRDate,Prediction
0,a1,b8457,.hack//G.U. vol. 1//Rebirth,CyberConnect2,Namco Bandai Games|Bandai,PlayStation 2,Action|Role-Playing,8.8,24 Oct 2006,2006-10-24,.hack//G.U. Vol. 1: Rebirth,CyberConnect2,Bandai,PC|PlayStation 2|PlayStation 4,Action|Role-Playing,7.9,24 October 2006,2006-10-24,1.0
2,a10,b2,007: The World is not Enough,Eurocom Entertainment Software|Black Ops Entertainment,Electronic Arts,Nintendo 64|PlayStation,Action|First-Person|Shooter|3D,7.6,1 Nov 2000,2000-11-01,007: The World Is Not Enough,Eurocom|Black Ops,Electronic Arts,Nintendo 64|PlayStation,First-Person|Shooter,7.0,17 October 2000,2000-10-17,1.0
5,a1003,b1029,Caesar III,Sierra Entertainment|Impressions Games,Sierra Entertainment|Frogster Interactive|Sold Out Software|Activision,Macintosh|PC,Strategy|Management,8.2,30 Sep 1998,1998-09-30,Caesar III,Impressions Games,Sierra Entertainment,PC,,7.5,October 1998,1998-10-01,1.0
9,a101,b160,Action Henk,RageSquid,RageSquid|Curve Digital Games,Linux|Macintosh|PC|PlayStation 3|PlayStation 4|Xbox One,Platformer|2D|Action,5.6,8 Jul 2014,2014-07-08,Action Henk,RageSquid,RageSquid,PC|PlayStation 4,Action|Platform|Racing,6.6,11 May 2015,2015-05-11,1.0
10,a1010,b1035,Call of Cthulhu: Dark Corners of the Earth,Headfirst Productions,Ubisoft|2K Games|Bethesda Softworks,PC|Xbox,Action|Adventure|Survival|3D,8.2,24 Oct 2005,2005-10-24,Call of Cthulhu: Dark Corners of the Earth,Headfirst Productions,Bethesda Softworks|2K Games,PC|Xbox,Survival horror|adventure|first-person shooter,7.2,24 October 2005,2005-10-24,1.0
12,a1011,b1040,Call of Duty 2: Big Red One,Treyarch,Activision|Konami,GameCube|PlayStation 2|Xbox,3D|Action|First-Person|Shooter,8.2,1 Nov 2005,2005-11-01,Call of Duty 2: Big Red One,Gray Matter Interactive|Treyarch|Pi Studios,Activision,Nintendo GameCube|PC|PlayStation 2|Xbox|Xbox 360,First-person Shooter,7.0,01 November 2005,2005-11-01,1.0
19,a1012,b1039,Call of Duty 2,Aspyr|Infinity Ward|IonFX,Activision|Aspyr|Konami,Macintosh|PC|Windows Mobile|Xbox 360,First-Person|Shooter|3D|Action,9.0,25 Oct 2005,2005-10-25,Call of Duty 2,Infinity Ward,Activision,Mac|PC|PlayStation 2|Xbox|Xbox 360|Xbox One,First-Person|Shooter,7.9,25 October 2005,2005-10-25,1.0
22,a1013,b1041,Call of Duty 3,Treyarch|Amaze Entertainment|Exakt,Activision|Spike,PlayStation 2|PlayStation 3|PSP|Wii|Xbox|Xbox 360,First-Person|Shooter|3D|Action,8.2,7 Nov 2006,2006-11-07,Call of Duty 3,Treyarch,Activision,PC|PlayStation 2|PlayStation 3|Wii|Xbox|Xbox 360|Xbox One,First-Person|Shooter,6.6,07 November 2006,2006-11-07,1.0
27,a1014,b1042,Call of Duty 4: Modern Warfare,n-Space|Infinity Ward|Treyarch,Activision|Aspyr|Square Enix,DS|Macintosh|PC|PlayStation 3|Wii|Xbox 360,Action|First-Person|Shooter|3D,9.1,5 Nov 2007,2007-11-05,Call of Duty 4: Modern Warfare,Infinity Ward,Activision,Mac|Nintendo DS|PC|PlayStation 3|Wii|Xbox 360,First-Person|Action|Shooter,8.2,05 November 2007,2007-11-05,1.0
36,a1015,b1043,Call of Duty: Advanced Warfare,Sledgehammer Games|High Moon Studios,Activision|Square Enix,PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,Tactical|First-Person|Action|3D|Shooter,7.0,3 Nov 2014,2014-11-03,Call of Duty: Advanced Warfare,Sledgehammer Games,Activision,PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,First-Person|Shooter,7.3,04 November 2014,2014-11-04,1.0
