ltable_ID,rtable_ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,lRating,rRating
a1,b8457,.hack//G.U. Vol. 1: Rebirth,CyberConnect2,Bandai|Namco Bandai Games,PlayStation|PC,Action|Role-Playing,2006-10-24,8.8,7.9
a10,b2,007: The World Is Not Enough,Black Ops Entertainment|Black Ops|Eurocom Entertainment Software|Eurocom,Electronic Arts,Nintendo|PlayStation,First-Person|Action|Shooter|3D,2000-11-01,7.6,7.0
a1003,b1029,Caesar III,Impressions Games|Sierra Entertainment,Frogster Interactive|Sierra Entertainment|Activision|Sold Out Software,PC|Macintosh,Strategy|Management,1998-09-30,8.2,7.5
a101,b160,Action Henk,RageSquid,Curve Digital Games|RageSquid,PlayStation|Linux|Macintosh|PC|Xbox,Platformer|2D|Racing|Platform|Action,2014-07-08,5.6,6.6
a1010,b1035,Call of Cthulhu: Dark Corners of the Earth,Headfirst Productions,Bethesda Softworks|2K Games|Ubisoft,PC|Xbox,Adventure|adventure|first-person shooter|Survival|Action|Survival horror|3D,2005-10-24,8.2,7.2
a1011,b1040,Call of Duty 2: Big Red One,Gray Matter Interactive|Treyarch|Pi Studios,Konami|Activision,Nintendo|PlayStation|PC|Xbox,First-person Shooter|First-Person|Action|Shooter|3D,2005-11-01,8.2,7.0
a1012,b1039,Call of Duty 2,IonFX|Infinity Ward|Aspyr,Konami|Activision|Aspyr,PlayStation|Macintosh|PC|Xbox|Mobile,First-Person|Action|Shooter|3D,2005-10-25,9.0,7.9
a1013,b1041,Call of Duty 3,Exakt|Treyarch|Amaze Entertainment,Spike|Activision,PC|PlayStation|Wii|Xbox,First-Person|Action|Shooter|3D,2006-11-07,8.2,6.6
a1014,b1042,Call of Duty 4: Modern Warfare,Treyarch|Infinity Ward|n-Space,Square Enix|Activision|Aspyr,PlayStation|Nintendo|Macintosh|Wii|PC|Xbox,First-Person|Action|Shooter|3D,2007-11-05,9.1,8.2
a1015,b1043,Call of Duty: Advanced Warfare,Sledgehammer Games|High Moon Studios,Square Enix|Activision,PlayStation|PC|Xbox,First-Person|Tactical|Action|Shooter|3D,2014-11-03,7.0,7.3
a1016,b1046,Call of Duty: Black Ops: Declassified,Nihilistic|nStigate Games,Square Enix|Activision,PlayStation,First-Person|Action|Shooter|3D,2012-11-13,4.9,4.5
